Time,u1,u2,u3,u4
2006-10-25 14:15,-0.08198,0.15976,-0.49943,-0.32811
2006-12-12 14:15,-0.05595,-1.04942,-0.07449,-0.0993
2007-01-31 14:15,0.01928,-0.42526,-0.46131,0.72004
2007-03-21 14:15,-0.09131,-2.10955,-0.1864,0.5118
2007-05-09 14:15,-0.00219,0.87689,-0.08462,0.20481
2007-06-28 14:15,-0.01052,0.51501,0.03108,-0.3285
2007-08-07 14:15,0.04962,-0.16578,0.95398,-2.33216
2007-08-10 09:15,0.11656,0.96019,-0.07024,-2.26846
2007-08-17 08:00,-0.12352,-0.57413,-0.00469,2.05007
2007-09-18 14:15,-3.20349,-1.69035,1.29551,1.28975
2007-10-31 14:15,-0.39485,1.93778,-0.19098,-0.01069
2007-12-11 14:15,0.50325,-1.79238,1.07676,-4.84458
2008-01-30 14:15,-1.61106,-0.6266,0.86954,1.25882
2008-03-11 08:30,1.02605,0.42833,0.18443,4.30271
2008-03-18 14:15,1.41768,-0.02264,-0.29258,-1.83391
2008-04-30 14:15,-0.91287,-0.00815,0.24137,0.09746
2008-06-25 14:15,-0.23358,-1.6536,0.94085,-0.69956
2008-08-05 14:15,-0.06206,-0.51063,0.60239,0.22601
2008-09-16 14:15,1.58006,1.55277,-0.56438,-0.08094
2008-10-29 14:17,-0.78461,0.74997,-0.6764,-2.91778
2008-11-25 08:15,-0.00766,-1.32824,-0.96606,2.75697
2008-12-16 14:15,-2.0872,-1.51779,-2.96499,0.75255
2009-01-28 14:15,-0.00729,-0.16239,0.71841,-0.28947
2009-03-18 14:15,-0.00897,0.03402,-11.26739,-0.32338
2009-04-29 14:15,-0.00217,-0.32514,1.55521,1.98194
2009-06-24 14:15,0.05943,0.77414,2.54688,-0.05912
2009-08-12 14:15,-0.00972,-0.25544,1.01727,-0.38936
2009-09-23 14:15,-0.10216,-1.91575,-0.51724,-0.21535
2009-11-04 14:15,-0.03845,-1.08826,1.61923,0.17302
2009-12-16 14:15,-0.27526,0.09369,0.98896,0.23275
2010-01-27 14:15,0.0098,0.99442,-0.10081,0.84909
2010-03-16 14:15,-0.07539,-0.83448,-0.18402,-0.18148
2010-04-28 14:15,0.00833,-0.30236,0.37423,0.37639
2010-06-23 14:15,0.0909,-0.43014,-0.14833,0.54988
2010-08-10 14:15,0.07833,-0.20305,-2.32294,0.58896
2010-09-21 14:15,0.15104,-0.70871,-0.50563,0.84961
2010-11-03 14:15,0.11567,-0.05383,0.60553,-0.46792
2010-12-14 14:15,0.00021,-0.38109,0.36063,-0.0639
2011-01-26 14:15,-0.00366,-0.62745,0.80659,-0.26597
2011-03-15 14:15,0.01613,0.27133,0.23788,0.95925
2011-04-27 12:30,0.00469,-0.4923,-0.26424,-0.00074
2011-06-22 12:30,0.00784,0.16891,0.3517,0.52559
2011-08-09 14:15,-0.04855,-1.03685,0.11866,-2.80999
2011-09-21 14:15,0.2295,1.41472,-0.94195,-0.87476
2011-11-02 12:30,-0.00415,0.3427,0.18619,-0.04324
2011-12-13 14:15,-0.03579,0.81214,-0.0429,-1.50133
2012-01-25 12:30,0.00549,-0.20327,-1.78741,-0.14439
2012-03-13 14:15,0.00537,-0.16299,1.10437,0.42087
2012-04-25 12:30,0.00106,-0.12857,0.555,0.11169
2012-06-20 12:30,0.05483,0.69139,-1.1283,-0.07137
2012-08-01 14:15,0.1552,0.28473,0.66891,0.12818
2012-09-13 12:30,0.23796,-0.53655,1.55951,1.92192
2012-10-24 14:15,-0.00114,-0.01374,-0.21159,-0.10297
2012-12-12 12:30,0.0193,-0.45074,0.50409,0.89719
2013-01-30 14:15,-0.00493,-0.01953,-0.21673,-0.29677
2013-03-20 14:00,0.00407,-0.12325,-0.13619,0.13206
2013-05-01 14:00,0.04702,-0.23243,0.36745,0.37109
2013-06-19 14:00,0.10956,-0.04153,1.73965,0.60438
2013-07-31 14:00,-0.00493,0.10121,-0.83009,-0.36932
2013-09-18 14:00,0.02756,-0.52657,-4.12989,0.39223
2013-10-30 14:00,-0.0072,0.06662,1.48512,-0.05096
2013-12-18 14:00,0.03127,-0.79627,-0.39392,1.19573
2014-01-29 14:00,0.05778,0.33992,-0.21824,-0.83775
2014-03-19 14:00,0.00012,1.02567,0.97348,0.58051
2014-04-30 14:00,0.00183,-0.09594,0.3186,0.11686
2014-06-18 14:00,0.01475,0.00063,-0.20461,0.70236
2014-07-30 14:00,0.01543,-0.33643,-0.4947,0.55356
2014-09-17 14:00,0.01574,0.43417,0.22438,0.99868
2014-10-29 14:00,-0.0074,0.97716,0.36566,0.06726
2014-12-17 14:00,0.02694,-2.00295,0.30178,0.65621
2015-01-28 14:00,0.06268,-0.03225,-0.33022,-0.75371
2015-03-18 14:00,0.00705,-2.54983,-0.73216,1.53305
2015-04-29 14:00,0.00403,-0.06623,-0.03682,0.17072
2015-06-17 14:00,-0.0817,-1.06913,-0.75966,-0.23863
2015-07-29 14:00,-0.07306,-0.28474,-0.20218,0.00942
2015-09-17 14:00,-0.88379,-0.57554,-0.23274,-0.51548
2015-10-28 14:00,-0.02079,1.48849,0.18814,-0.4471
2015-12-16 14:00,0.40011,-0.00999,-0.77594,0.18192
2016-01-27 14:00,-0.02029,-0.39715,-0.00223,-1.1705
2016-03-16 14:00,-0.23741,-1.64052,-0.71445,-0.82285
2016-04-27 14:00,0.01142,0.16547,-0.33945,0.57138
2016-06-15 14:00,-0.04551,-1.02667,0.16952,-0.72886
2016-07-27 14:00,-0.06827,0.06619,-0.486,0.32818
2016-09-21 14:00,-0.63082,-0.50844,-0.46564,-0.08481
