Time,u1,u2,u3,u4
2006-08-08 14:15,-4.14658,-0.33673,1.29183,-1.25033
2006-09-20 14:15,-0.06366,2.41213,0.20623,-0.43974
2006-10-25 14:15,-0.53817,0.67378,-1.318,-0.56249
2006-12-12 14:15,-0.36734,-4.42592,-0.19658,-0.17024
2007-01-31 14:15,0.12657,-1.79353,-1.2174,1.23442
2007-03-21 14:15,-0.59946,-8.89698,-0.49193,0.8774
2007-05-09 14:15,-0.01438,3.69826,-0.22332,0.35112
2007-06-28 14:15,-0.06907,2.17206,0.08203,-0.56316
2007-08-07 14:15,0.32572,-0.69919,2.51759,-3.99816
2007-08-10 09:15,0.76524,4.04959,-0.18538,-3.88896
2007-08-17 08:00,-0.81091,-2.42137,-0.01238,3.51455
2007-09-18 14:15,-21.03079,-7.12902,3.41889,2.21109
2007-10-31 14:15,-2.59216,8.17252,-0.504,-0.01833
2007-12-11 14:15,3.30383,-7.55933,2.8416,-8.30536
2008-01-30 14:15,-10.57658,-2.64269,2.29474,2.15808
2008-03-11 08:30,6.73602,1.80645,0.48671,7.3764
2008-03-18 14:15,9.30703,-0.09547,-0.77212,-3.14398
2008-04-30 14:15,-5.99294,-0.03439,0.63699,0.16708
2008-06-25 14:15,-1.53342,-6.97403,2.48294,-1.19931
2008-08-05 14:15,-0.40744,-2.15356,1.58972,0.38746
2008-09-16 14:15,10.37303,6.54878,-1.48942,-0.13876
2008-10-29 14:17,-5.15095,3.16298,-1.78505,-5.00213
2008-11-25 08:15,-0.05027,-5.60183,-2.54946,4.72645
2008-12-16 14:15,-13.70242,-6.40123,-7.82469,1.29013
2009-01-28 14:15,-0.04783,-0.68489,1.89589,-0.49626
2009-03-18 14:15,-0.05889,0.14346,-29.73498,-0.55439
2009-04-29 14:15,-0.01426,-1.37128,4.10424,3.39776
2009-06-24 14:15,0.39013,3.2649,6.7213,-0.10136
2009-08-12 14:15,-0.06379,-1.07729,2.68461,-0.6675
2009-09-23 14:15,-0.67065,-8.07962,-1.36502,-0.36919
2009-11-04 14:15,-0.25241,-4.58972,4.27319,0.29661
2009-12-16 14:15,-1.80707,0.39512,2.60989,0.39901
2010-01-27 14:15,0.06435,4.19395,-0.26605,1.45564
2010-03-16 14:15,-0.49492,-3.51939,-0.48563,-0.31113
2010-04-28 14:15,0.05465,-1.27518,0.9876,0.64528
2010-06-23 14:15,0.59673,-1.8141,-0.39144,0.94269
2010-08-10 14:15,0.51426,-0.85636,-6.13031,1.00969
2010-09-21 14:15,0.99158,-2.98898,-1.33438,1.45653
2010-11-03 14:15,0.75935,-0.22701,1.598,-0.80219
2010-12-14 14:15,0.00139,-1.60723,0.95172,-0.10955
2011-01-26 14:15,-0.02404,-2.64626,2.12861,-0.45597
2011-03-15 14:15,0.10589,1.14431,0.62776,1.64449
2011-04-27 12:30,0.03082,-2.07627,-0.69735,-0.00127
2011-06-22 12:30,0.05146,0.71236,0.92815,0.90105
2011-08-09 14:15,-0.31872,-4.3729,0.31315,-4.81733
2011-09-21 14:15,1.50668,5.96652,-2.48584,-1.49966
2011-11-02 12:30,-0.02722,1.44532,0.49135,-0.07412
2011-12-13 14:15,-0.23499,3.42516,-0.1132,-2.57382
2012-01-25 12:30,0.03607,-0.85727,-4.71704,-0.24754
2012-03-13 14:15,0.03525,-0.68739,2.91447,0.72152
2012-04-25 12:30,0.00698,-0.54226,1.46465,0.19147
2012-06-20 12:30,0.35992,2.9159,-2.97762,-0.12236
2012-08-01 14:15,1.01889,1.20083,1.76528,0.21974
2012-09-13 12:30,1.56222,-2.2629,4.11558,3.29486
2012-10-24 14:15,-0.00745,-0.05797,-0.55839,-0.17654
2012-12-12 12:30,0.12671,-1.90098,1.3303,1.53811
2013-01-30 14:15,-0.03234,-0.08236,-0.57195,-0.50877
2013-03-20 14:00,0.02674,-0.51979,-0.35942,0.22641
2013-05-01 14:00,0.30868,-0.98026,0.96971,0.63618
2013-06-19 14:00,0.71926,-0.17516,4.59098,1.03613
2013-07-31 14:00,-0.03236,0.42687,-2.19062,-0.63315
2013-09-18 14:00,0.18091,-2.22078,-10.8989,0.67243
2013-10-30 14:00,-0.04724,0.28095,3.91926,-0.08737
2013-12-18 14:00,0.20528,-3.35826,-1.03957,2.04992
2014-01-29 14:00,0.37934,1.43362,-0.57595,-1.43621
2014-03-19 14:00,0.00076,4.32573,2.56904,0.99521
2014-04-30 14:00,0.01199,-0.40464,0.8408,0.20033
2014-06-18 14:00,0.09681,0.00267,-0.53998,1.2041
2014-07-30 14:00,0.10129,-1.41887,-1.30553,0.94901
2014-09-17 14:00,0.10334,1.83112,0.59214,1.71209
2014-10-29 14:00,-0.04859,4.12115,0.96498,0.1153
2014-12-17 14:00,0.17688,-8.44738,0.7964,1.12499
2015-01-28 14:00,0.41148,-0.13602,-0.87147,-1.29213
2015-03-18 14:00,0.0463,-10.75385,-1.93219,2.62819
2015-04-29 14:00,0.02648,-0.27931,-0.09717,0.29268
2015-06-17 14:00,-0.53635,-4.50901,-2.00476,-0.4091
2015-07-29 14:00,-0.47965,-1.20088,-0.53356,0.01614
2015-09-17 14:00,-5.80207,-2.42731,-0.6142,-0.88373
2015-10-28 14:00,-0.13651,6.27765,0.4965,-0.76649
2015-12-16 14:00,2.62673,-0.04211,-2.04774,0.31187
2016-01-27 14:00,-0.13318,-1.67495,-0.00589,-2.00667
2016-03-16 14:00,-1.55858,-6.91886,-1.88545,-1.41065
2016-04-27 14:00,0.07497,0.69786,-0.89583,0.97955
2016-06-15 14:00,-0.29879,-4.32995,0.44737,-1.24952
2016-07-27 14:00,-0.44821,0.27915,-1.28256,0.56262
2016-09-21 14:00,-4.1413,-2.14432,-1.22884,-0.1454
2016-11-02 14:00,-0.2494,0.63918,-0.39658,0.29283
2016-12-14 14:00,-0.45872,5.07491,3.08861,1.1295
2017-02-01 14:00,-0.23008,-2.98587,0.39206,-0.02972
2017-03-15 14:00,0.51153,-6.32335,-1.17268,-0.75598
2017-05-03 14:00,0.02848,0.70359,0.85163,0.58846
2017-06-14 14:00,1.88925,1.59632,-0.24633,0.40139
2017-07-26 14:00,-0.01199,-1.28364,-0.6654,-0.43775
2017-09-20 14:00,-0.00195,3.54389,1.28266,0.67888
2017-11-01 14:00,-0.22988,-0.03637,0.33683,0.41884
2017-12-13 14:00,0.00821,-1.2679,-0.46658,-0.1452
2018-01-31 14:00,-0.51995,0.73931,1.00461,-0.02293
2018-03-21 14:00,0.11286,-2.59094,1.92232,1.3244
2018-05-02 14:00,-0.24027,-1.42794,-0.42311,0.0789
2018-06-13 14:00,-0.89165,3.82142,0.78153,0.55771
2018-08-01 14:00,0.00319,0.08303,-0.38258,0.00676
